Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
Onalaska,0.5,0.52825,0.53754,0.5453,0.54706,2,1A,3,2023
Oneida Nation,0.26316,0.55449,0.57455,0.48408,0.49228,5,4B,12,2023
Oostburg,0.90909,0.57018,0.56812,0.54406,0.53735,3,2B,1,2023
Oregon,0.68182,0.59426,0.5586,0.55045,0.53946,1,3A,5,2023
Osceola,0.45455,0.55026,0.54596,0.52253,0.52609,3,1A,8,2023
Oshkosh North,0.36364,0.50301,0.50482,0.54605,0.55271,1,1A,14,2023
Oshkosh West,0.65217,0.49713,0.49695,0.5524,0.55835,1,1A,9,2023
Osseo-Fairchild,0.63636,0.54987,0.53191,0.5388,0.53939,4,1B,4,2023
Owen-Withee,0.35,0.53203,0.53405,0.52001,0.51243,5,1B,10,2023
Ozaukee,0.19048,0.55385,0.55978,0.51818,0.52047,4,4B,10,2023
Pacelli,0.5,0.51436,0.49448,0.49709,0.49323,5,2A,9,2023
Palmyra-Eagle,0.47368,0.48732,0.47436,0.47259,0.47298,5,4A,5,2023
Pardeeville,0.77273,0.47258,0.45161,0.51567,0.51768,4,4A,6,2023
Parkview,0.33333,0.45408,0.47561,0.46302,0.45658,4,3B,11,2023
Pecatonica,0.4,0.475,0.47962,0.47859,0.48409,5,4A,9,2023
Peshtigo,0.66667,0.52185,0.52778,0.50634,0.50766,3,2A,3,2023
Pewaukee,0.95455,0.62972,0.60542,0.56547,0.557,2,4B,1,2023
Phillips,0.90476,0.57403,0.56374,0.53727,0.53733,4,1A,1,2023
Pittsville,0.57143,0.43511,0.42202,0.48574,0.48617,5,3A,7,2023
Pius XI Catholic,0.86364,0.56161,0.54734,0.55675,0.56692,2,4A,1,2023
Platteville,0.7619,0.58636,0.5508,0.55758,0.55614,3,3A,3,2023
Plum City/Elmwood,0.28571,0.54593,0.50774,0.49503,0.50304,5,1B,12,2023
Plymouth,0.31818,0.55344,0.54907,0.52857,0.52489,2,2A,8,2023
Port Edwards,0.0,0.5,0.47423,0.4619,0.45401,5,2A,16,2023
Port Washington,0.33333,0.40426,0.4055,0.52531,0.52869,2,2B,6,2023
Portage,0.04762,0.49644,0.5188,0.51492,0.51524,2,3A,11,2023
Potosi/Cassville,0.4,0.4825,0.45658,0.49381,0.49367,5,3B,8,2023
Poynette,0.59091,0.51395,0.50129,0.54006,0.53955,4,3B,7,2023
Prairie Farm,1.0,0.55526,0.54248,0.50816,0.49599,5,1B,1,2023
Prairie du Chien,0.81818,0.6088,0.59326,0.5483,0.54513,3,3A,1,2023
Prentice,0.31818,0.52723,0.53646,0.51935,0.51869,5,2A,12,2023
Prescott,0.66667,0.58701,0.6087,0.53198,0.53323,3,1A,2,2023
Princeton/Green Lake,0.19048,0.52727,0.50621,0.4922,0.48939,4,2A,9,2023
Pulaski,0.18182,0.56325,0.55627,0.51315,0.51087,2,2A,10,2023
